kind,frox_idx,en,ja
artifact,1,of Galadriel,ガラドリエルの
artifact,2,of Elendil,丈高きエレンディルの
artifact,3,of Judgement,審判の
artifact,4,of Carlammas,カルランマスの
artifact,5,of Ingwe,上級王イングウェの
artifact,6,Necklace of the Dwarves,ドワーフの首飾り
artifact,7,of Edison,エジソンの
artifact,8,'Frakir',《フラキア》という
artifact,9,of Tulkas,勇猛なるトゥルカスの
artifact,10,of Power (Narya),《ナルヤ》という
artifact,11,of Power (Nenya),《ネンヤ》という
artifact,12,of Power (Vilya),《ヴィルヤ》という
artifact,13,of Power (The One Ring),《一つの指輪》という
artifact,14,of Cower (Darnya),《アホヤ》という
artifact,15,Palantir of Westernesse,パランティアの石
artifact,16,'Crimson',『クリムゾン』
artifact,17,of Lore,知識の
artifact,18,of Faramir,ファラミアの
artifact,19,'Soulkeeper',『魂の守り手』
artifact,20,of Isildur,イシルドゥアの
artifact,21,of the Rohirrim,ロヒアリムの
artifact,22,of Lohengrin,騎士ローエングリンの
artifact,23,of Julian,アーデンの森の主ジュリアンの
artifact,24,of Arvedui,アルヴェドゥイ王の
artifact,25,of Caspanion,カスパニオンの
artifact,26,of Shiva's Avatar,シヴァの化身の
artifact,27,'Hithlomir',『ヒスロミア』
artifact,28,'Thalkettoth',『サルケットス』
artifact,30,of Thorin,トーリン王の
artifact,31,of Celegorm,金髪のケレゴルムの
artifact,32,of Anarion,アナリオンの
artifact,33,of Indra,インドラの
artifact,34,of Chaos,混沌の
artifact,35,of Beruthiel,ベルシエル王妃の
artifact,36,of Thranduil,スランドゥイル王の
artifact,37,of Thengel,センゲル王の
artifact,38,of Hammerhand,槌手王の
artifact,39,of Dor-Lomin,ドル=ローミンの
artifact,40,'Holhenneth',『ホルヘンネス』
artifact,41,'Terror Mask',『恐怖の仮面』
artifact,42,of Amber,真世界アンバーの
artifact,43,of Jack of Shadows,影のジャックの
artifact,44,'Colluin',『コルイン』
artifact,45,'Holcolleth',『ホルコルレス』
artifact,46,of Thingol,灰色マント王シンゴルの
artifact,47,of Thorongil,大将ソロンギルの
artifact,48,'Colannon',『コランノン』
artifact,49,of Luthien,ルシエン王女の
artifact,50,of Tuor,トゥオルの
