kind,frox_idx,en,ja
dungeon,0,Wilderness,荒野
dungeon,1,Angband,鉄獄
dungeon,2,Camelot,キャメロット
dungeon,3,Orc cave,オークの洞窟
dungeon,4,Labyrinth,迷宮
dungeon,5,Dragon's lair,竜の住みか
dungeon,6,Graveyard,墓地
dungeon,7,Witch Wood,魔女の森
dungeon,8,Volcano,火山
dungeon,9,Hell,地獄
dungeon,10,Heaven,天界
dungeon,11,Numenor,水没した遺跡
dungeon,12,Castle,城
dungeon,13,R'lyeh,ルルイエ
dungeon,14,Eyrie,猛禽の巣
dungeon,15,Mine,金鉱
dungeon,16,Anti-magic cave,反魔法の洞窟
dungeon,17,Anti-melee cave,反攻撃の洞窟
dungeon,18,Chameleon cave,カメレオン洞
dungeon,19,Dark cave,暗闇の洞窟
dungeon,20,Crystal castle,水晶の城
dungeon,21,Icky cave,ねばねば洞窟
dungeon,22,Mount Olympus,オリュンポス山
dungeon,23,Lonely Mountain,はなれ山
dungeon,24,Giant's Hall,巨人の広間
dungeon,25,Arena,闘技場
dungeon,26,Random Forest,迷いの森
dungeon,27,Random Volcano,迷いの火山
dungeon,28,Random Mountain,迷いの山
dungeon,29,Random Sea,迷いの海
dungeon,30,Warrens,兎の巣穴
dungeon,31,Hideout,隠れ家
dungeon,32,Battlefield,古戦場
dungeon,33,Tidal cave,潮の洞窟
dungeon,34,Pyramidal mound,ピラミッド型の墳丘
dungeon,35,Plains of Oz,オズの平原
dungeon,36,Troll cave,トロルの洞窟
dungeon,37,Disaster area,災厄の地
dungeon,38,Snow castle,雪の城
dungeon,39,Asgard,アスガルド
dungeon,40,Man cave,男の隠れ家
dungeon,41,Atlantis,アトランティス
dungeon,42,Mystery cave,謎の洞窟
dungeon,43,Mount Meru,須弥山
