kind,frox_idx,en,ja
ego,1,of Slaying,殺戮の
ego,2,of Sharpness,切れ味の
ego,3,of Force,理力の
ego,4,(Blessed),(祝福)
ego,5,of Extra Attacks,追加攻撃の
ego,6,(Arcane),(秘術)
ego,7,(Armageddon),(ハルマゲドン)
ego,8,(Chaos),(カオス)
ego,9,(Craft),(匠)
ego,10,(Crusade),(破邪)
ego,11,(Daemon),(悪魔)
ego,12,(Death),(暗黒)
ego,13,(Life),(生命)
ego,14,(Nature),(自然)
ego,15,(Trump),(トランプ)
ego,16,(Wild),(野生)
ego,17,(Order),(秩序)
ego,18,(Defender),(防衛者)
ego,19,of Westernesse,西方国の
ego,20,of Gondolin,ゴンドリンの
ego,21,of Morgul,モルグルの
ego,22,(Pattern),(パターン)
ego,23,of the Noldor,ノルドールの
ego,24,of Jousting,馬上槍の
ego,25,& Hell Lance~,地獄の槍
ego,26,& Holy Lance~,聖なる槍
ego,27,(Troika),(トロイカ)
ego,40,of Digging,穴掘りの
ego,41,of Dissolving,溶解の
ego,42,of Disruption,破砕の
ego,50,of Protection,守りの
ego,51,of Elemental Protection,元素防護の
ego,52,of Celestial Protection,天恵の
ego,53,of Elvenkind,エルフの
ego,54,of Stealth,忍びの
ego,55,of Free Action,麻痺知らずの
ego,56,of Seeing,鋭敏の
ego,60,(Dwarven),(ドワーフ)
ego,61,(Orcish),(オーク)
ego,62,of Reflection,反射の
ego,63,of Night and Day,光と影の
ego,64,of Endurance,耐久の
ego,70,(Dwarven),(ドワーフ)
ego,71,of the Uruk-hai,ウルクの
ego,72,of the Olog-hai,オログの
ego,73,of the Demon,悪魔の
ego,74,of the Demon-Lord,魔王の
ego,75,of the Imp,インプの
ego,76,of Augmentation,増強の
ego,77,of the Emu-Lord,エミュー王の
ego,80,of Permanence,永続の
ego,81,of the Twilight,宵闇の
ego,82,of the Sorcerer,妖術師の
ego,85,(Lore),(伝承)
ego,86,(Breath),(ブレス)
ego,87,(Attack),(攻撃)
ego,88,(Craft),(匠)
ego,89,(Armor),(防御)
ego,90,(Domination),(支配)
ego,91,(Crusade),(破邪)
ego,92,(Death),(暗黒)
ego,95,of Cowardice,臆病の
ego,96,of Immolation,灼熱の
ego,97,of Electricity,電撃の
ego,98,of Freezing,凍結の
ego,99,of Retribution,報復の
ego,100,of Shadows,影の
ego,101,of Aman,至福の地アマンの
ego,102,of the Bat,蝙蝠の
ego,103,of the Nazgul,幽鬼の
ego,104,of the Hero,英雄の
ego,110,of Knowledge,知識の
ego,111,of Piety,敬虔の
ego,112,of Domination,支配の
ego,113,of Fortitude,剛毅の
ego,114,of the Kobold,コボルドの
ego,115,of the Troll,トロルの
ego,116,of the Vampire,吸血鬼の
ego,117,of Sunlight,陽光の
ego,118,(Dwarven),(ドワーフ)
ego,119,of the Valkyrie,ワルキューレの
ego,120,of Rage,レイジの
ego,121,of the Tomte,トムテの
ego,122,of the Witch,魔女の
ego,125,of Telepathy,テレパシーの
ego,126,of the Magi,賢者の
ego,127,of Might,力の
ego,128,of Lordliness,尊厳の
ego,129,of Angmar,アングマールの
ego,130,of the Unbeliever,不信心者の
ego,135,of Slaying,殺戮の
ego,136,of the Thief,盗賊の
ego,137,of the Giant,巨人の
ego,138,of the Wizard,魔術師の
ego,139,of the Yeek,イークの
ego,140,of Genji,源氏の
ego,141,of the Sniper,狙撃手の
ego,142,of the Berserker,狂戦士の
ego,145,of Levitation,浮遊の
ego,146,(Gnomish),(ノーム)
ego,147,(Dwarven),(ドワーフ)
ego,148,of Speed,スピードの
ego,149,of Elvenkind,エルフの
ego,150,of Feanor,フェアノールの
ego,151,of the Sprite,スプライトの
ego,152,of the Golem,ゴーレムの
ego,160,of Accuracy,高精度の
ego,161,of Velocity,高速度の
ego,162,of Extra Might,強力射の
ego,163,of Extra Shots,強速射の
ego,164,of Lothlorien,ロスローリエンの
ego,165,of the Haradrim,ハラドリムの
ego,166,of Buckland,バック郷の
ego,167,of the Hunter,狩人の
ego,180,of Slaying,殺戮の
ego,181,of Elements,元素の
ego,182,of Holy Might,聖なる
ego,183,of Returning,帰還の
ego,184,of Endurance,耐久の
ego,185,of Exploding,爆発の
ego,195,of the Vanyar,ヴァンヤールの
ego,196,of Erebor,エレボールの
ego,200,(Defender),(防衛者)
ego,201,(Elemental),(元素)
ego,205,of Protection,守りの
ego,206,of Combat,戦闘の
ego,207,of Archery,弓術の
ego,208,of Wizardry,魔道の
ego,209,of Speed,スピードの
ego,210,of the Nazgul,幽鬼の
ego,211,of the Dwarves,ドワーフの
ego,220,& Barbarian Talisman~,蛮族の護符
ego,221,& Sacred Pendant~,神聖なペンダント
ego,222,& Hell Harness~,地獄の胸当て
ego,223,& Dwarven Necklace~,ドワーフのネックレス
ego,224,of the Magi,賢者の
ego,225,& Torc~ of the Hero,英雄の首輪
ego,226,of Devotion,献身の
ego,227,of Trickery,詐術の
ego,235,of Extra Light,光明の
ego,236,of Illumination,イルミネーションの
ego,237,of Duration,長持ちの
ego,238,of Infravision,赤外線視力の
ego,239,of Immolation,灼熱の
ego,240,of Darkness,闇の
ego,241,of Immortal Eye,不朽の眼の
ego,242,of Valinor,ヴァリノールの
ego,243,of Scrying,遠見の
ego,250,of Resistance,全耐性の
ego,251,of Capacity,大容量の
ego,252,of Regeneration,再生の
ego,253,of Simplicity,簡便の
ego,254,of Power,腕力の
ego,255,of Holding,保持の
ego,256,of Quickness,敏速の
ego,260,(Blasted),(粗悪品)
ego,265,of Holding,保持の
ego,266,of Protection,守りの
ego,267,& Endless Quiver~,無限の矢筒
ego,268,& Phase Quiver~,転移の矢筒
