kind,frox_idx,en,ja
item_flavored,1,Poison:Red,毒:赤い
item_flavored,2,Blindness:Blue,盲目:青い
item_flavored,3,Paranoia:Black,恐怖:黒い
item_flavored,4,Confusion:Black Spotted,混乱:黒斑の
item_flavored,5,Hallucination:Brown,幻覚:茶色の
item_flavored,6,Paralysis:Tan,麻痺:黄褐色の
item_flavored,7,Weakness:Furry,脆弱:苔むした
item_flavored,8,Sickness:Slimy,病気:ねばねばした
item_flavored,9,Stupidity:Light Green,無知:黄緑の
item_flavored,10,Naivety:Violet,愚鈍:スミレ色の
item_flavored,11,Unhealth:Green,病弱:緑の
item_flavored,12,Disease:White Spotted,疾病:白斑の
item_flavored,13,Cure Poison:Dark Blue,毒消し:群青の
item_flavored,14,Cure Blindness:Dark Green,盲目治癒:深緑の
item_flavored,15,Cure Paranoia:Dark Red,恐怖除去:紅色の
item_flavored,16,Cure Confusion:Yellow,混乱脱出:黄色い
item_flavored,17,Restore Constitution:Grey,耐久力復活:グレーの
item_flavored,18,Restoring:Light Blue,全復活:空色の
item_flavored,19,Restore Strength:White,腕力復活:白い
item_flavored,20,Fast Recovery:Wrinkled,回復:しわしわの
item_flavored,234,& Hand~:Decrepit,手:老いさらばえた
item_flavored,315,Darkness:fapay doea,暗闇:骨動 文攫 羅尾
item_flavored,316,Aggravate Monster:itemar habyt,エキサイト・モンスター:五惨 竜天 実森
item_flavored,317,Curse Armor:alacre re org,防具呪縛:牙感 倒 胆
item_flavored,318,Curse Weapon:prokaks wahish,武器呪縛:知津 羅色 垢
item_flavored,319,Summon Monster:binvom cosmung,サモン・モンスター:起武 痍 陽翔
item_flavored,320,Summon Undead:umgar danri,サモン・アンデッド:毒全 翔完 進事
item_flavored,321,Summon Pet:he proktab,ペット召喚:武鳴 空 神合
item_flavored,322,Trap Creation:wahx our gre,トラップ創造:文味 倒魑 扈
item_flavored,323,Phase Door:ankh sanfu bit,ショート・テレポート:幻収 縫 落牙
item_flavored,324,Teleportation:hiden goseke,テレポート:hiden goseke
item_flavored,325,Teleport Level:bie xuxuval,テレポート・レベル:定故 五温 化鳴
item_flavored,326,Word of Recall:re ab evssna,帰還の詔:全 津乱 起起
item_flavored,327,Identify:temeep aks el,鑑定:武一 識断 覇澹
item_flavored,328,*Identify*:triapp trolpet,*鑑定*:刀 鳴 故幻
item_flavored,329,Remove Curse:byti sne,解呪:扈 闇歌 身化
item_flavored,330,*Remove Curse*:bluju wex blu,*解呪*:食地 臓臓 扈知
item_flavored,331,Enchant Armor:rolsan triple,防具強化:風起 併蛇 用
item_flavored,332,Enchant Weapon To-Hit:mipay sun,武器命中率上昇:尽惨 吸 楚起
item_flavored,333,Enchant Weapon To-Dam:batuni blaame,武器ダメージ増加:幻横 尽道 万変
item_flavored,334,*Enchant Armor*:klimon bieder,*防具強化*:出惨 体 未合
item_flavored,335,*Enchant Weapon*:vlytox,*武器強化*:武没 完毒 八回
item_flavored,336,Recharging:klis glenash,魔力充填:乱完 根夏 扈鬼
item_flavored,337,Mundanity:danseh nejood,凡庸:動起 神落 六魎
item_flavored,338,Light:misat dernin,光:九 飛腑 魍面
item_flavored,339,Magic Mapping:rea fri elip,魔法の地図:陰両 腑 神 万
item_flavored,340,Treasure Detection:ner fidtri,財宝感知:起転 試覇 柳
item_flavored,341,Object Detection:for mic rol,アイテム感知:覇十 横能 国純
item_flavored,342,Trap Detection:sri nelgun,トラップ感知:魍四 後両 欠縦
item_flavored,343,Door/Stair Location:sehsat ulkab,ドア/階段感知:七 乱能 興飛
item_flavored,344,Detect Invisible:stafoo lechi,透明物体感知:無 日翔 惨魍
item_flavored,345,Satisfy Hunger:kli ing tadalf,空腹充足:代風 軽地 感故
item_flavored,346,Blessing:ooder dokrog,天恵:断縦 純 絶根
item_flavored,347,Holy Chant:nihum khomar,聖唱歌:火回 絶胆 柳
item_flavored,348,Holy Prayer:wexab jahnag,聖祈言:刀 生動 尾毒
item_flavored,349,Monster Confusion:blaata arze,パニック・モンスター:軽 倒 絶疾 夏
item_flavored,350,Protection from Evil:sefeng danod,対邪悪結界:頭森 地跳 真骨
item_flavored,351,Rune of Protection:sef unag famur,守りのルーン:実 新牙 邪忍
item_flavored,352,Trap/Door Destruction:erk bieklis,トラップ/ドア破壊:収生 一 乱
item_flavored,353,Destruction:denmung ishbul,破壊:魎故 刀 命 直
item_flavored,354,Dispel Undead:wah snofoo,アンデッド退散:聞 地 退色
item_flavored,355,Spell:nin xuxucre,呪文:大嘗 真吸 回
item_flavored,356,Genocide:ashval paylech,抹殺:頭 一回 聞 確
item_flavored,357,Mass Genocide:trolsee mex,周辺抹殺:衣変 試死 魑
item_flavored,358,Acquirement:klinej ere,獲得:胆天 嘗面 刀横
item_flavored,359,*Acquirement*:snetrol uni,*獲得*:入 痍魑 純闇
item_flavored,360,Forest Creation:onip batsat,森林生成:死没 完後 両
item_flavored,361,Wall of Stone:shu urfor,石の壁:転 制 縫尽
item_flavored,362,Vengeance:comp turs,復讐:試 空陽 尽化
item_flavored,363,Rumour:an gan nagblaa,噂:胆 肉 用竜
item_flavored,364,Artifact Creation:engsno argsan,アーティファクト生成:化九 印制 行八
item_flavored,365,Reset Recall:unjah blu comp,フロア・リセット:併化 万錯 創胆
item_flavored,366,Summon Kin:bulther valish,援軍:刀化 縦 武魎
item_flavored,367,Crafting:enchantus maximus,匠技:enchantus maximus
item_flavored,368,Madness:mumblus incognitus,狂気:mumblus incognitus
item_flavored,369,Detect Monsters:wascally wabbit,モンスター感知:wascally wabbit
item_flavored,370,Fire:itus whamko,炎:itus whamko
item_flavored,371,Ice:facwon mailor,氷:facwon mailor
item_flavored,372,Understanding:fentwon gerbil,根源理解:fentwon gerbil
item_flavored,373,Mana:deedil dorko,消費魔力減少:deedil dorko
item_flavored,374,Banishment:wonto maroki,バニシング:wonto maroki
item_flavored,375,Inventory Protection:arsemi zunag,持物保護:arsemi zunag
item_flavored,400,Water:Clear,水:透明な
item_flavored,401,Apple Juice:Light Brown,リンゴジュース:薄茶色の
item_flavored,402,Slime Mold Juice:Icky Green,スライムモルドジュース:よどんだ緑の
item_flavored,403,Slowness:Metallic Blue,のろま:青く輝く
item_flavored,404,Salt Water:Orange Speckled,塩水:オレンジ斑の
item_flavored,405,Poison:Light Green,毒:黄緑の
item_flavored,406,Blindness:Indigo,盲目:藍色の
item_flavored,407,Booze:Light Blue,酔っ払い:空色の
item_flavored,408,Sleep:Hazy,眠り:ぼやけた色の
item_flavored,409,Lose Memories:Orange,記憶喪失:オレンジ色の
item_flavored,410,Ruination:Pungent,破滅:刺激臭のする
item_flavored,411,Weakness:Blue,脆弱:青い
item_flavored,412,Stupidity:Brown,無知:茶色の
item_flavored,413,Naivety:Chartreuse,愚鈍:薄黄緑色の
item_flavored,414,Clumsiness:Stinking,不器用:悪臭のする
item_flavored,415,Sickliness:Ivory White,病気:象牙色の
item_flavored,416,Ugliness:Crimson,醜悪:紅色の
item_flavored,417,Detonations:Clotted Red,爆発:よどんだ赤の
item_flavored,418,Death:Violet Speckled,死:紫斑の
item_flavored,419,Sight:White,視力:白い
item_flavored,420,Antidote:Violet,解毒:スミレ色の
item_flavored,421,Boldness:Purple,恐いもの知らず:紫色の
item_flavored,422,Speed:Magenta,スピード:マゼンタ色の
item_flavored,423,Resist Heat and Cold:Red Speckled,耐熱耐寒:赤斑の
item_flavored,424,Vigor:Silver Speckled,活力:銀斑の
item_flavored,425,Heroism:Pink Speckled,ヒーロー:ピンク斑の
item_flavored,426,Berserk Strength:Puce,狂戦士化:黒褐色の
item_flavored,427,Cure Light Wounds:Gold,軽傷の治癒:金の
item_flavored,428,Cure Serious Wounds:Gold Speckled,重傷の治癒:金斑の
item_flavored,429,Cure Critical Wounds:Gray,致命傷の治癒:灰色の
item_flavored,430,Healing:Gray Speckled,体力回復:灰斑の
item_flavored,431,*Healing*:Oily Yellow,*体力回復*:ねばった黄色の
item_flavored,432,Life:Gloopy Green,生命:暗緑色の
item_flavored,433,Restore Mana:Vermilion,魔力復活:朱色の
item_flavored,434,Restore Life Levels:Red,経験値復活:赤い
item_flavored,435,Restore Strength:Blue Speckled,腕力復活:青斑の
item_flavored,436,Restore Intelligence:Brown Speckled,知能復活:茶斑の
item_flavored,437,Restore Wisdom:Cloudy,賢さ復活:濁った
item_flavored,438,Restore Dexterity:Metallic Green,器用さ復活:緑に輝く
item_flavored,439,Restore Constitution:Metallic Purple,耐久力復活:紫に輝く
item_flavored,440,Restore Charisma:Cyan,魅力復活:シアン色の
item_flavored,441,Strength:Azure,腕力:紺碧の
item_flavored,442,Intelligence:Black,知能:黒い
item_flavored,443,Wisdom:Bubbling,賢さ:泡だった
item_flavored,444,Dexterity:Metallic Red,器用さ:赤く輝く
item_flavored,445,Constitution:Green,耐久力:緑の
item_flavored,446,Charisma:Copper Speckled,魅力:銅斑の
item_flavored,447,Restoring:Teal,全復活:青緑色の
item_flavored,448,Augmentation:Viscous Pink,増強:ドロドロの
item_flavored,449,Revelation:Pink,啓示:ピンク色の
item_flavored,450,*Revelation*:Yellow Speckled,＊啓示＊:黄斑の
item_flavored,451,Self Knowledge:Shimmering,自己分析:輝く
item_flavored,452,Experience:Green Speckled,経験:緑斑の
item_flavored,453,Resistance:Yellow,耐性:黄色い
item_flavored,454,Curing:Dark Blue,癒し:群青の
item_flavored,455,Invulnerability:Dark Green,無敵:深緑の
item_flavored,456,New Life:Bright Red,新生:鮮やかな赤の
item_flavored,457,Neo-Tsuyoshi Special:Sky Blue,ネオ・つよしスペシャル:空色の
item_flavored,458,Tsuyoshi Special:Silver,つよしスペシャル:銀の
item_flavored,459,Polymorph:Bronze,チェンジ・モンスター:青銅の
item_flavored,460,Blood:Blood Red,血:血のような赤の
item_flavored,461,Giant Strength:Noxious,巨人の力:悪臭を放つ
item_flavored,462,Stone Skin:Fuming,石の肌:煙を上げる
item_flavored,463,Clarity:Metallic,明晰:金属光沢の
item_flavored,464,Great Clarity:Acrid,大いなる明晰:刺激臭の
item_flavored,465,Liquid Logrus:Murky Brown,液状のログルス:濁った茶色の
item_flavored,466,Mead of Poetry:Bright Orange,詩の蜜酒:鮮やかな橙色の
item_flavored,611,& Eye~:Shriveled,目:干からびた
