en,race,shop,ja,src
Snafu the Midget,GNOME,GENERAL,背の低いスナフー,承認票 2026-08-27
Stumpy the Blockhead,ENT,ARMORY,でくのぼうスタンピー,承認票 2026-08-27
Beamy Break-Axe,ENT,ARMORY,斧折りビーミー,承認票 2026-08-27
Zeppo the Blacksmith,HUMAN,ARMORY,鍛冶屋のゼッポ,承認票 2026-08-27
Krikkik,KLACKON,TEMPLE,クリキック,承認票 2026-08-27
Proogdish the Youthful,OGRE,TEMPLE,若きプルーグディシュ,承認票 2026-08-27
Igor the Mixturemaker,IGOR,ALCHEMIST,調合師のイゴール,承認票 2026-08-27
Nils the Nifty,TOMTE,MAGIC,粋なニルス,承認票 2026-08-27
Sidria Lightfingered,HUMAN,BLACK_MARKET,手癖の悪いシドリア,承認票 2026-08-27（案 B）
Shallowgrave,ZOMBIE,BOOK,シャロウグレイヴ,承認票 2026-08-27
Dalanna the Sweet,HUMAN,JEWELER,優しいダランナ,承認票 2026-08-27
Mesistrond,DARK_ELF,JEWELER,メシストロンド,承認票 2026-08-27
Mr. Biggles,GNOME,JEWELER,ビグルズ氏,承認票 2026-08-27
Snivelsby,SNOTLING,JEWELER,スニヴェルズビー,承認票 2026-08-27
Grug,HALF_TROLL,JEWELER,グラッグ,承認票 2026-08-27
Raphaella,ARCHON,JEWELER,ラファエラ,承認票 2026-08-27
Sylphrana Lightfoot,SPRITE,JEWELER,軽足のシルフラナ,承認票 2026-08-27
Helen the Beautiful,DEMIGOD,JEWELER,美しきヘレネー,承認票 2026-08-27
Rattles Neverborn,SKELETON,JEWELER,生まれざるラトルズ,承認票 2026-08-27
Trinkles the Stinky,GNOME,JEWELER,臭いトリンクルズ,承認票 2026-08-27
Gaudella,HUMAN,JEWELER,ゴーデラ,承認票 2026-08-27
Argwynna of the Wood,WOOD_ELF,JEWELER,森のアーグウィナ,承認票 2026-08-27
Mugbasha,KOBOLD,JEWELER,マグバシャ,承認票 2026-08-27
Billing,DWARF,JEWELER,ビリング,承認票 2026-08-27
Regen,NIBELUNG,JEWELER,レギン,承認票 2026-08-27
Aulendil,HIGH_ELF,JEWELER,アウレンディル,承認票 2026-08-27
Mysticus,GNOME,SHROOMERY,ミスティクス,承認票 2026-08-27
Martin,HUMAN,SHROOMERY,マーティン,承認票 2026-08-27
Karl,HALF_TROLL,SHROOMERY,カール,承認票 2026-08-27
Mycella,SPRITE,SHROOMERY,マイセラ,承認票 2026-08-27
Gordo,HOBBIT,SHROOMERY,ゴルド,承認票 2026-08-27
Agaria,WOOD_ELF,SHROOMERY,アガリア,承認票 2026-08-27
Dumush,KOBOLD,SHROOMERY,ドゥムシュ,承認票 2026-08-27
Beowulf,HUMAN,DRAGON,ベーオウルフ,承認票 2026-08-27
Sigurd,HUMAN,DRAGON,シグルド,承認票 2026-08-27
Conan,BARBARIAN,DRAGON,コナン,承認票 2026-08-27
George,HUMAN,DRAGON,ジョージ,承認票 2026-08-27
