kind,frox_idx,en,ja
monster,1,Filthy street urchin,汚いイタズラ小僧
monster,2,Scrawny cat,やせこけた猫
monster,3,Sparrow,すずめ
monster,4,Chaffinch,ズアオアトリ
monster,5,Wild rabbit,野うさぎ
monster,6,Woodsman,きこり
monster,7,Scruffy little dog,みすぼらしい子犬
monster,8,Farmer Maggot,農夫『マゴット』
monster,9,Blubbering idiot,泣きじゃくる白痴
monster,10,Hobo,醜い浮浪者
monster,11,Raving lunatic,わめくキチガイ
monster,12,Pitiful looking beggar,哀れな身なりの乞食
monster,13,Mangy looking leper,不潔な病人
monster,14,Agent of black market,ブラックマーケットのエージェント
monster,15,"Singing, happy drunk",歌を口ずさむ幸せな酔っぱらい
monster,16,Aimless looking merchant,あてどなくふらつく商人
monster,17,Mean looking mercenary,貧しげな傭兵
monster,18,Battle scarred veteran,戦傷兵士
monster,20,Grey mold,グレイ・モルド
monster,21,Large white snake,大白ヘビ
monster,22,Blinking dot,点滅する点
monster,23,Newt,イモリ
monster,24,Giant white centipede,巨大白ムカデ
monster,25,White icky thing,白ベトベト
monster,26,Clear icky thing,透明ベトベト
monster,27,Giant white mouse,巨大ハツカネズミ
monster,28,Large brown snake,土ヘビ
monster,29,Small kobold,スモール・コボルド
monster,30,Kobold,コボルド
monster,31,Green worm mass,緑イモムシの大群
monster,32,Floating eye,フローティング・アイ
monster,33,Rock lizard,岩トカゲ
monster,34,Grid bug,グリッドバグ
monster,35,Jackal,ジャッカル
monster,36,Soldier ant,兵隊アリ
monster,37,Fruit bat,フルーツ・コウモリ
monster,38,Insect swarm,蟲の大群
monster,39,Greater Hell-Beast,『グレーター・ヘル=ビースト』
monster,40,Shrieker mushroom patch,絶叫おばけキノコ
monster,41,Blubbering icky thing,号泣ベトベト
monster,42,Metallic green centipede,銀緑ムカデ
monster,43,Novice warrior,見習戦士
monster,44,Novice rogue,見習盗賊
monster,46,Novice mage,見習メイジ
monster,47,Yellow mushroom patch,黄おばけキノコ
monster,48,Yellow jelly,イエロー・ゼリー
monster,49,Giant black ant,巨大黒アリ
monster,50,Salamander,サラマンダー
monster,51,White harpy,ホワイト・ハーピー
monster,52,Blue yeek,ブルー・イーク
monster,53,"Grip, Farmer Maggot's dog",農夫マゴットの飼犬『くいつき』
monster,54,"Wolf, Farmer Maggot's dog",農夫マゴットの飼犬『おおかみ』
monster,55,"Fang, Farmer Maggot's dog",農夫マゴットの飼犬『きば』
monster,56,Giant green frog,巨大アマガエル
monster,57,Freesia,好まざる猫『フリージア』
monster,59,Large yellow snake,大黄色ヘビ
monster,60,Cave spider,洞窟蜘蛛
monster,61,Crow,カラス
monster,62,Wild cat,山猫
monster,63,Smeagol,『スメアゴル』
monster,65,Poltergeist,ポルターガイスト
monster,66,Green jelly,グリーン・ゼリー
monster,67,Metallic blue centipede,銀青ムカデ
monster,68,Raven,ワタリガラス
monster,69,Giant white louse,巨大白シラミ
monster,70,Piranha,ピラニア
monster,71,Black naga,ブラック・ナーガ
monster,72,Spotted mushroom patch,斑点おばけキノコ
monster,73,Silver jelly,シルバー・ゼリー
monster,74,Scruffy looking hobbit,貧弱ホビット
monster,75,Giant white ant,巨大シロアリ
monster,76,Yellow mold,イエロー・モルド
monster,77,Metallic red centipede,銀赤ムカデ
monster,78,Yellow worm mass,黄イモムシの大群
monster,79,Clear worm mass,透明イモムシの大群
monster,80,Radiation eye,発光アイ
monster,81,Yellow light,黄色い光
monster,82,Cave lizard,洞窟トカゲ
monster,83,Novice ranger,見習レンジャー
monster,85,Creeping copper coins,銅のクリーピングコイン
monster,86,Giant white rat,巨大白ネズミ
monster,88,Swordfish,メカジキ
monster,89,White worm mass,白イモムシの大群
monster,90,Large grey snake,大灰色ヘビ
monster,91,Skeleton kobold,スケルトン・コボルド
monster,92,Ewok,イウォーク
monster,93,Novice mage,見習メイジ
monster,94,Green naga,グリーン・ナーガ
monster,95,Giant leech,巨大ヒル
monster,96,Barracuda,バラクーダ
monster,97,Novice paladin,見習パラディン
monster,98,Zog,ゾッグ
monster,100,Green glutton ghost,緑の食いしん坊ゴースト
monster,102,Large kobold,ラージ・コボルド
monster,103,Grey icky thing,グレイ・ベトベト
monster,104,Disenchanter eye,劣化アイ
monster,105,Red worm mass,赤イモムシの大群
monster,106,Copperhead snake,マムシ
monster,107,Death sword,デスソード
monster,108,Purple mushroom patch,紫おばけキノコ
monster,109,Novice priest,見習プリースト
monster,110,Novice warrior,見習戦士
monster,111,Nibelung,ニーベルング
monster,112,Disembodied hand that strangled people,喉を絞める手
monster,113,Brown mold,ブラウン・モルド
monster,114,Giant brown bat,巨大茶コウモリ
monster,115,Rat-thing,ネズミ怪物
monster,116,Novice archer,見習アーチャー
monster,117,Creeping silver coins,銀のクリーピングコイン
monster,118,Snaga,スナガ
monster,119,Rattlesnake,ガラガラヘビ
monster,120,Giant slug,巨大ナメクジ
monster,121,Giant pink frog,巨大ピンク・ガエル
monster,122,Dark elf,ダークエルフ
monster,123,Zombified kobold,ゾンビ・コボルド
monster,124,Crypt Creep,窖に潜むもの
monster,125,Rotting corpse,腐った死体
monster,126,Cave orc,洞窟オーク
monster,127,Wood spider,森蜘蛛
monster,128,Manes,古代の死霊
monster,129,Bloodshot eye,充血アイ
monster,133,Lost soul,浮遊霊
monster,134,Night lizard,暗黒トカゲ
monster,135,Mughash the Kobold Lord,コボルド・ロード『ムガッシュ』
monster,136,Skeleton orc,スケルトン・オーク
monster,137,"Wormtongue, Agent of Saruman",サルマンの間者『ヘビの舌』
monster,138,"Robin Hood, the Outlaw",無法者『ロビン・フッド』
monster,139,Nurgling,ナーグリング
monster,140,"Lagduf, the Snaga",スナガ『ラグドゥフ』
monster,141,Brown yeek,ブラウン・イーク
monster,142,Novice ranger,見習レンジャー
monster,143,Giant salamander,ジャイアント・サラマンダー
monster,144,Space monster,スペース・モンスター
monster,145,Carnivorous flying monkey,空飛ぶ人喰い猿
monster,146,Green mold,グリーン・モルド
monster,147,Novice paladin,見習パラディン
monster,148,Lemure,レムレース
monster,149,Hill orc,丘オーク
monster,150,Bandit,追い剥ぎ
monster,151,Hunting hawk of Julian,ジュリアンの猟鷹
monster,152,Phantom warrior,幽体戦士
monster,153,Gremlin,グレムリン
monster,154,Yeti,イエティ
monster,155,Bloodshot icky thing,充血ベトベト
monster,156,Giant grey rat,巨大ドブネズミ
monster,157,Black harpy,ブラック・ハーピー
monster,158,Skaven,スケイヴン
monster,159,The Wounded Bear,『手負いの熊』
monster,160,Portuguese man-o-war,カツオノエボシ
monster,161,Rock mole,岩もぐら
monster,162,Orc shaman,オーク・シャーマン
monster,163,Baby blue dragon,ベビー・ブルー・ドラゴン
monster,164,Baby white dragon,ベビー・ホワイト・ドラゴン
monster,165,Baby green dragon,ベビー・グリーン・ドラゴン
monster,166,Baby black dragon,ベビー・ブラック・ドラゴン
monster,167,Baby red dragon,ベビー・レッド・ドラゴン
monster,169,"Brodda, the Easterling",東夷『ブロッダ』
monster,170,Bloodfang the Wolf,狼『血塗られし牙』
monster,171,King cobra,キング・コブラ
monster,172,Eagle,鷲
monster,173,War bear,闘熊
monster,174,Killer bee,殺人蜂
monster,175,Giant spider,大蜘蛛
monster,176,Giant white tick,巨大白ダニ
monster,177,The Borshin,『ボーシン』
monster,178,Dark elven mage,ダークエルフ・メイジ
monster,179,Kamikaze yeek,カミカゼ・イーク
monster,180,"Orfax, Son of Boldor",ボルドールの息子『オルファックス』
monster,181,Servant of Glaaki,グラーキの奴隷
monster,182,Dark elven warrior,ダークエルフ戦士
monster,183,Sand-dweller,砂に棲むもの
monster,184,Clear mushroom patch,透明おばけキノコ
monster,185,Quiver slot,矢筒スロット
monster,186,"Grishnakh, the Hill Orc",丘オーク『グリシュナッハ』
monster,187,Giant piranha,ジャイアント・ピラニア
monster,188,Owlbear,アウルベア
monster,189,Blue horror,ブルー・ホラー
monster,190,Hairy mold,毛むくじゃらモルド
monster,191,Grizzly bear,グリズリー
monster,192,Disenchanter mold,劣化モルド
monster,193,Pseudo dragon,ニセドラゴン
monster,194,Tengu,テング
monster,195,Creeping gold coins,金のクリーピングコイン
monster,196,Wolf,狼
monster,197,Giant fruit fly,巨大フルーツ・バエ
monster,198,Panther,黒豹
monster,199,Tax collector,徴税官
monster,200,Hobbes the Tiger,『トラのホッブス』
monster,201,Shadow Creature of Fiona,フィオナの影の怪物
monster,202,Undead mass,死体の塊
monster,203,Chaos shapechanger,カオス・シェイプチェンジャー
monster,204,Baby multi-hued dragon,ベビー万色ドラゴン
monster,205,Vorpal bunny,ヴォーパル・バニー
monster,206,Old Man Willow,『柳じじい』
monster,207,Hippocampus,ヒッポカンポス
monster,208,Zombified orc,ゾンビ・オーク
monster,209,Hippogriff,ヒポグリフ
monster,210,Black mamba,ブラック・マンバ
monster,211,White wolf,白狼
monster,212,Grape jelly,グレープ・ゼリー
monster,213,Nether worm mass,冥界イモムシの大群
monster,214,Abyss worm mass,深淵イモムシの大群
monster,215,"Golfimbul, the Hill Orc Chief",丘オークの隊長『ゴルフィンブール』
monster,216,Swordsman,ソードマン
monster,217,Skaven shaman,スケイヴン・シャーマン
monster,218,Gazer,ゲイザー
monster,219,Knight archer,ナイト・アーチャー
monster,220,Ixitxachitl,イクシツザチトル
monster,221,Mine-dog,地雷犬
monster,222,Hellcat,ヘルキャット
monster,223,Moon beast,月の怪物
monster,224,Master yeek,マスター・イーク
monster,225,Priest,プリースト
monster,226,Dark elven priest,ダークエルフ・プリースト
monster,227,Air spirit,風のスピリット
monster,228,Skeleton human,スケルトン
monster,229,Zombified human,ゾンビ
monster,230,Tiger,トラ
monster,231,Moaning spirit,唸るスピリット
monster,232,Frumious bandersnatch,おどろしきバンダースナッチ
monster,233,Spotted jelly,斑点ゼリー
monster,234,Drider,ドリダー
monster,235,Mongbat,モングバット
monster,236,Killer brown beetle,ブラウン・キラービートル
monster,237,"Boldor, King of the Yeeks",イークの大王『ボルドール』
monster,238,Ogre,オーガ
monster,239,Creeping mithril coins,ミスリルのクリーピングコイン
monster,240,Illusionist,幻術師
monster,241,Druid,ドルイド僧
monster,242,Pink horror,ピンク・ホラー
monster,243,Cloaker,クローカー
monster,244,Black orc,ブラック・オーク
monster,245,Ochre jelly,オーカー・ゼリー
monster,246,Software bug,ソフトウェア・バグ
monster,247,Lurker,ラーカー
monster,248,Nixie,ニクシー
monster,249,Vlasta,ヴラスタ
monster,250,Giant white dragon fly,巨大白トンボ
monster,251,Snaga sapper,爆裂スナガ
monster,252,Blue icky thing,青ベトベト
monster,253,Gibbering mouther,百目口
monster,254,Irish wolfhound of Flora,フローラのアイリッシュ犬
monster,255,Hill giant,丘ジャイアント
monster,256,Flesh golem,肉ゴーレム
monster,257,Warg,ワーグ
monster,258,Cheerful leprechaun,陽気なレプラコーン
monster,259,Giant flea,巨大ノミ
monster,260,Ufthak of Cirith Ungol,キリス・ウンゴルの『ウフサク』
monster,261,Clay golem,土ゴーレム
monster,262,Black ogre,ブラック・オーガ
monster,263,Dweller on the threshold,閾に棲む者
monster,264,Half-orc,ハーフオーク
monster,265,Dark naga,ダーク・ナーガ
monster,266,Giant octopus,巨大タコ
monster,267,Magic mushroom patch,魔法おばけキノコ
monster,268,Plaguebearer of Nurgle,<ナーグル>の疫病人間
monster,269,Guardian naga,ガーディアン・ナーガ
monster,270,Wererat,ワーラット
monster,271,Light hound,ライト・ハウンド
monster,272,Shadow hound,シャドウ・ハウンド
monster,273,Flying skull,浮遊髑髏
monster,274,Mi-Go,ミ=ゴウ
monster,275,Giant tarantula,巨大タランチュラ
monster,276,Giant clear centipede,巨大透明ムカデ
monster,277,Mirkwood spider,闇の森蜘蛛
monster,278,Frost giant,フロスト・ジャイアント
monster,279,Griffon,グリフォン
monster,281,Gnome mage,ノーム・メイジ
monster,282,Clear hound,クリア・ハウンド
monster,283,Umber hulk,アンバーハルク
monster,284,Rust monster,錆の怪物
monster,285,Orc captain,オーク・キャプテン
monster,286,Gelatinous cube,ゼラチナス・キューブ
monster,287,Giant green dragon fly,巨大緑トンボ
monster,288,Fire giant,ファイアー・ジャイアント
monster,289,Hummerhorn,ハマーホーン
monster,290,Lizardman,リザードマン
monster,291,"Ulfast, Son of Ulfang",ウルファングの息子『ウルファスト』
monster,292,Hammerhead,シュモクザメ
monster,293,Berserker,バーサーカー
monster,294,Quasit,クアシト
monster,295,Sphinx,スフィンクス
monster,296,Imp,インプ
monster,297,Forest troll,森トロル
monster,298,Freezing sphere,凍った球体
monster,299,Jumping fireball,跳ねる火の玉
monster,300,Ball lightning,電気の球体
monster,301,2-headed hydra,双頭ヒドラ
monster,302,Swamp thing,怪奇苔男
monster,303,Water spirit,水のスピリット
monster,305,Earth spirit,地のスピリット
monster,306,Fire spirit,火のスピリット
monster,307,Fire hound,ファイア・ハウンド
monster,308,Cold hound,コールド・ハウンド
monster,309,Energy hound,エナジー・ハウンド
monster,310,Potion mimic,ミミック(薬)
monster,311,Door mimic,ミミック(ドア)
monster,312,Blink dog,ブリンク・ドッグ
monster,313,Uruk,ウルク
monster,314,"Shagrat, the Orc Captain",オークの隊長『シャグラト』
monster,315,"Gorbag, the Orc Captain",オークの隊長『ゴルバグ』
monster,316,Shambling mound,よろめき歩く塊
monster,317,White shark,白鮫
monster,318,Chaos beastman,混沌の獣人
monster,319,Daemonette of Slaanesh,<スラーネッシュ>の女悪魔
monster,320,Giant bronze dragon fly,巨大ブロンズ・トンボ
monster,321,Stone giant,ストーン・ジャイアント
monster,322,Giant black dragon fly,巨大黒トンボ
monster,323,Stone golem,石ゴーレム
monster,324,Red mold,レッド・モルド
monster,325,Giant gold dragon fly,巨大ゴールド・トンボ
monster,326,Stunwall,スタンウォール
monster,327,Ghast,ガースト
monster,328,Ixitxachitl priest,イクシツザチトル・プリースト
monster,329,Huorn,フオルン
monster,330,"Bolg, Son of Azog",アゾグの息子『ボルグ』
monster,331,Phase spider,フェイズ・スパイダー
monster,332,Lizard king,リザードキング
monster,333,Landmine,地雷
monster,334,Wyvern,ワイバーン
monster,335,Great eagle,大鷲
monster,336,Livingstone,動く岩
monster,337,Earth hound,アース・ハウンド
monster,338,Air hound,エア・ハウンド
monster,339,Sabre-tooth tiger,サーベル・タイガー
monster,340,Water hound,ウォーター・ハウンド
monster,341,Chimera,キメラ
monster,342,Quylthulg,クイルスルグ
monster,343,Sasquatch,サスカッチ
monster,344,Weir,狼<ウィア>人
monster,345,Whale,鯨
monster,346,Electric eel,電気ウナギ
monster,347,Werewolf,ワーウルフ
monster,348,Dark elven lord,ダークエルフ・ロード
monster,349,Cloud giant,クラウド・ジャイアント
monster,350,"Ugluk, the Uruk",ウルク『ウグルク』
monster,351,Blue dragon bat,ブルー・ドラゴンバット
monster,352,Scroll mimic,ミミック(巻物)
monster,353,Chest mimic,ミミック(箱)
monster,354,Fire vortex,ファイア・ボルテックス
monster,355,Water vortex,ウォーター・ボルテックス
monster,356,"Lugdush, the Uruk",ウルク『ルグドゥシュ』
monster,357,Arch-vile,アーチ=ヴァイル
monster,358,Cold vortex,コールド・ボルテックス
monster,359,Energy vortex,エナジー・ボルテックス
monster,360,Globefish,フグ
monster,361,Carrion,キャリオン
monster,362,Mummified orc,ミイラ・オーク
monster,363,Killer whale,シャチ
monster,364,Serpent man,蛇人間
monster,365,Vampiric mist,吸血霧
monster,366,Killer stag beetle,殺人クワガタ
monster,367,Iron golem,鉄ゴーレム
monster,368,Auto-roller,オート・ローラー
monster,369,Giant yellow scorpion,巨大黄サソリ
monster,370,Jade monk,緑衣の修行僧
monster,371,Black ooze,ブラック・ウーズ
monster,372,Hardened warrior,熟練戦士
monster,373,"Azog, King of the Uruk-Hai",ウルク=ハイの大王『アゾグ』
monster,374,Fleshhound of Khorne,<コーン>の腐肉犬
monster,375,Dark elven warlock,ダークエルフ・ワーロック
monster,376,Master rogue,大盗賊
monster,377,Red dragon bat,レッド・ドラゴンバット
monster,378,Killer white beetle,ホワイト・キラービートル
monster,379,Ice skeleton,アイス・スケルトン
monster,380,Angamaite of Umbar,ウンバールの『アンガマイテ』
monster,381,Kouko,コウコ
monster,382,"Mime, the Nibelung",ニーベルング族の『ミーメ』
monster,383,"Hagen, Son of Alberich",アルベリヒの息子『ハーゲン』
monster,384,Meneldor the Swift,疾翼『メネルドール』
monster,385,Phantom beast,幽体獣
