kind,en,ja
# 呪文・属性・召喚の名。
# **人が直す種はここ。** カタログの節は
#   python tools/frox/fc_build_ja_spell.py --catalog
# で組み立てて frox/lang/ja/ui/messages.ja.txt へ貼る。
#
# kind は出どころ:
#   display … monspell.c の `_parse_t` の表示名（63 本）
#   mst     … monspell.c の `_mst_tbl[]` の系統名（14 本。**10 バイトまで**）
#   gf      … gf.c の `_gf_tbl[]` の属性の名（130 本）
#   summon  … init1.c の `_summon_type_tbl[]` の召喚の種別名（84 本）
#
# 同じ名が 2 つの表に出ることがある（`Heal` は gf と mst の両方）。**訳は 1 つ**で、
# kind は先に出たほうを書いてある。
display,Amnesia,記憶喪失
display,Animate Dead,死者復活
display,Blind,盲目
display,Confuse,混乱
display,Create Darkness,暗闇生成
display,Paralyze,麻痺
display,Terrify,恐怖
display,Slow,減速
display,Shriek,叫び
display,Teleport Level,テレポート・レベル
display,Teleport To,引きよせ
display,Create Traps,トラップ創造
display,Stop Time,時を止める
display,Remove Air,空気除去
display,Anti-Magic,反魔法
display,Dispel Magic,魔力消去
display,Polymorph Other,変身
display,Haste Self,加速
display,Invulnerability,無傷の球
display,Invoke Logrus,純ログルス
display,Darkness Storm,暗黒の嵐
display,Starburst,スター・バースト
display,Mana Storm,魔力の嵐
display,Radiation Ball,放射能球
display,Stinking Cloud,悪臭雲
display,Whirlpool,大渦
display,Brain Smash,脳攻撃
display,Drain Mana,魔力吸収
display,Mind Blast,精神攻撃
display,Pulverise,念動衝撃弾
display,Rocket,ロケット
display,Throw Boulder,岩石投げ
display,Chicken,ニワトリ
display,Gaze,にらみつけ
display,Magic Missile,マジック・ミサイル
display,Shoot,射撃
display,Time Wave,時間の波
display,Psycho-Spear,光の剣
display,Hell Lance,ヘル・ランス
display,Holy Lance,ホーリー・ランス
display,Wounding Curse,軽傷の呪い
display,Evil Curse,重傷の呪い
display,Mighty Curse,致命傷の呪い
display,Death Curse,死の呪い
display,Hand of Doom,破滅の手
display,Teleport Away,テレポート・アウェイ
display,Teleport,テレポート
display,Blink,ショート・テレポート
display,Blink Away,ショート・テレポート・アウェイ
display,Heal Self,体力回復
display,Something Weird,何か奇妙なこと
display,Drop Monster,モンスター落とし
display,Detect Traps,トラップ感知
display,Detect Evil,邪悪感知
display,Detect Monsters,モンスター感知
display,Detect Objects,アイテム感知
display,Identify,鑑定
display,Mapping,魔法の地図
display,Clairvoyance,千里眼
display,Multiply,増殖
display,Bless,祝福
display,Heroism,士気高揚
display,Berserk,狂戦士化
mst,Breathe,ブレス
mst,Ball,ボール
mst,Bolt,ボルト
mst,Beam,ビーム
mst,Curse,呪い
mst,Buff,強化
mst,Biff,弱体化
mst,Escape,逃走
mst,Annoy,妨害
mst,Summon,召喚
mst,Heal,回復
mst,Tactic,位置取り
mst,Weird,特殊
mst,Possessor,憑依
gf,None,なし
gf,Acid,酸
gf,Lightning,電撃
gf,Fire,火炎
gf,Frost,冷気
gf,Poison,毒
gf,Light,閃光
gf,Darkness,暗黒
gf,Confusion,混乱
gf,Nether,地獄
gf,Nexus,因果混乱
gf,Sound,轟音
gf,Shards,破片
gf,Chaos,カオス
gf,Disenchantment,劣化
gf,Time,時間逆転
gf,Mana,魔力
gf,Gravity,重力
gf,Inertia,遅鈍
gf,Plasma,プラズマ
gf,Force,フォース
gf,Toxic Waste,放射性廃棄物
gf,Disintegration,分解
gf,Storm Winds,暴風
gf,Holy Fire,聖なる炎
gf,Hell Fire,業火
gf,Ice,極寒
gf,Water,水
gf,Rocket,ロケット
gf,Meteor,隕石
gf,Rock,岩
gf,Arrow,矢
gf,Missile,魔法の矢
gf,Blood Curse,血の呪い
